,"Trump support 11/04/2020, 10:15am"
"Alabama,AL",62.47
"Alaska,AK",62.91
"Arizona,AZ",47.63
"Arkansas,AR",62.47
"California,CA",32.93
"Colorado,CO",41.76
"Connecticut,CT",40.03
"Delaware,DE",39.78
"District of Columbia,DC",5.19
"Florida,FL",51.25
"Georgia,GA",50.3
"Hawaii,HI",33.76
"Idaho,ID",63.88
"Illinois,IL",43.01
"Indiana,IN",58.77
"Iowa,IA",53.24
"Kansas,KS",56.76
"Kentucky,KY",62.57
"Louisiana,LA",58.47
"Maine,ME",44.12
"Montana,MT",56.49
"Nebraska,NE",58.76
"Nevada,NV",48.59
"New Hampshire,NH",45.31
"New Jersey,NJ",37.95
"New Mexico,NM",43.86
"New York,NY",43.27
"North Carolina,NC",50.09
"North Dakota,ND",65.48
"Ohio,OH",53.36
"Oklahoma,OK",65.37
"Oregon,OR",40.15
"Maryland,MD",34.93
"Massachusetts,MA",32.5
"Michigan,MI",48.8
"Minnesota,MN",45.41
"Mississippi,MS",59.42
"Missouri,MO",41.32
"Pennsylvania,PA",53.47
"Rhode Island,RI",39.34
"South Carolina,SC",55.67
"South Dakota,SD",64.12
"Tennessee,TN",60.72
"Texas,TX",52.26
"Utah,UT",58.19
"Vermont,VT",30.84
"Virginia,VA",44.63
"Washington,WA",36.84
"West Virginia,WV",68.72
"Wisconsin,WI",48.95
"Wyoming,WY",70.38
